"is_fasovka","is_max","is_min","id","id_stock","id_tt","template_id","name_tt","name_stock","role"
true,false,false,2,19,1,1,Kiev Olymp,Kiev Rasprodaga,Storage
true,true,true,1,1,1,1,Kiev Olymp,Kiev,PT
